"psitecode","prich","ln.prich","site.rich","ln.site.rich","ptotmass","ln.ptotmass","ln.site.totmass","ln.pshade","pprod","ln.pprod","ln.site.prod","SoilSuitability","SoilWithShade","pn","sqr.pn","ln.pn","ln.pc","ln.pp"
"amcamp.us",12,2.564949357,28.93333333,3.398972687,1278.3571,7.154112965,6.603600087,0.741484544,859.5529,6.75757509,6.091325885,0.83706507732,0.16979744301,0.585,0.342225,0.460584407,2.240496901,4.753590191
"amcamp.us",15,2.772588722,28.93333333,3.398972687,697.2959,6.548642938,6.603600087,0.613682199,399.2217,5.992018644,6.091325885,0.866888020040001,0.21737328872,0.413,0.170569,0.345715104,2.141594407,4.564348191
"amcamp.us",18,2.944438979,28.93333333,3.398972687,638.2865,6.460352711,6.603600087,0.596587017,229.3423,5.439566463,6.091325885,0.860068080320001,0.189235886509999,0.524,0.274576,0.421338457,2.18233652,4.59511985
"amcamp.us",11,2.48490665,28.93333333,3.398972687,615.8749,6.424666248,6.603600087,0.674459223,337.7607,5.825293958,6.091325885,0.83759942064,0.22565692077,0.342,0.116964,0.294161039,1.792092747,4.615120517
"amcamp.us",11,2.48490665,28.93333333,3.398972687,534.0121,6.282289363,6.603600087,0.549134804,337.3579,5.824104211,6.091325885,0.787534500800001,0.223572470150001,0.284,0.080656,0.249980205,1.617802829,4.454347296
"amcamp.us",16,2.833213344,28.93333333,3.398972687,565.07235,6.338721897,6.603600087,0.601344207,319.54815,5.770032499,6.091325885,0.864348620640001,0.219288363269999,0.402,0.161604,0.337899789,2.169853381,4.317488114
"amcamp.us",9,2.302585093,28.93333333,3.398972687,1073.4372,6.979552269,6.603600087,0.652178995,695.838,6.546552959,6.091325885,0.87046870016,0.20613735488,0.464,0.215296,0.381172416,2.021150133,4.762173935
"amcamp.us",15,2.772588722,28.93333333,3.398972687,978.284,6.886821692,6.603600087,0.678215964,639.7548,6.462646856,6.091325885,0.853021571999999,0.182392840499999,0.546,0.298116,0.43567095,2.19064744,4.564348191
"amcamp.us",15,2.772588722,28.93333333,3.398972687,783.39005,6.664906409,6.603600087,0.667282866,400.12585,5.994275218,6.091325885,0.866888020040001,0.21737328872,0.413,0.170569,0.345715104,2.059111275,4.9698133
"amcamp.us",12,2.564949357,28.93333333,3.398972687,684.43495,6.5300536,6.603600087,0.616761412,449.88575,6.111213981,6.091325885,0.834736816160003,0.168158050880001,0.59,0.3481,0.463734016,2.378897776,4.290459441
"amcamp.us",10,2.397895273,28.93333333,3.398972687,963.13635,6.871232727,6.603600087,0.60866626,632.53715,6.451318641,6.091325885,0.855429489800001,0.184596939649998,0.539,0.290521,0.431132855,2.221375038,4.477336814
"amcamp.us",14,2.708050201,28.93333333,3.398972687,426.3131,6.057517,6.603600087,0.538275148,264.5128,5.58166305,6.091325885,0.856779631240002,0.222596665569999,0.379,0.143641,0.321358599,1.984856099,4.025351691
"amcamp.us",10,2.397895273,28.93333333,3.398972687,600.5698,6.399542572,6.603600087,0.683642649,412.6495,6.025018997,6.091325885,0.865277708360001,0.19549390973,0.503,0.253009,0.407463111,2.224623552,3.871201011
"amcamp.us",14,2.708050201,28.93333333,3.398972687,602.4286,6.402627724,6.603600087,0.649864913,460.1994,6.133830487,6.091325885,0.87060264308,0.206891791189999,0.461,0.212521,0.379121133,2.16573391,3.663561646
"amcamp.us",12,2.564949357,28.93333333,3.398972687,464.9045,6.143980678,6.603600087,0.604549703,293.5392,5.685412101,6.091325885,0.860630607839999,0.189844655369999,0.522,0.272484,0.420025259,2.239325753,3.891820298
"amcamp.us",11,2.48490665,28.93333333,3.398972687,1244.0698,7.126946872,6.603600087,0.548494863,658.5706,6.491589017,6.091325885,0.4892643586,0.15626321905,0.127,0.016129,0.119559235,1.125578737,3.583518938
"amcamp.us",11,2.48490665,28.93333333,3.398972687,543.4599,6.299794294,6.603600087,0.68880792,379.4757,5.941422312,6.091325885,0.816915729160002,0.15665903488,0.625,0.390625,0.485507816,2.369308725,3.63758616
"amcamp.us",18,2.944438979,28.93333333,3.398972687,1238.3409,7.122334985,6.603600087,0.772698439,648.8556,6.476750184,6.091325885,0.844103711240002,0.17501550182,0.569,0.323761,0.450438474,2.216700354,3.583518938
"amcamp.us",15,2.772588722,28.93333333,3.398972687,619.80215,6.431012432,6.603600087,0.60821767,448.79185,6.10878492,6.091325885,0.846974337759999,0.17727943393,0.562,0.315844,0.445967051,2.199444334,3.688879454
"amcamp.us",12,2.564949357,28.93333333,3.398972687,595.03635,6.390301655,6.603600087,0.568863893,423.84605,6.051726868,6.091325885,0.8629684258,0.220090182399999,0.397,0.157609,0.33432708,1.990473707,3.496507561
"amcamp.us",13,2.63905733,28.93333333,3.398972687,752.27255,6.624427115,6.603600087,0.603893829,383.59835,5.952199543,6.091325885,0.840223586720002,0.172086511460001,0.578,0.334084,0.456158222,2.351184763,3.713572067
"amcamp.us",14,2.708050201,28.93333333,3.398972687,465.31965,6.144871343,6.603600087,0.604304278,233.8756,5.459056012,6.091325885,0.8559703922,0.222836642599999,0.377,0.142129,0.31990722,1.796415281,3.988984047
"amcamp.us",12,2.564949357,28.93333333,3.398972687,898.047,6.801335313,6.603600087,0.643668266,466.2567,6.146878785,6.091325885,0.8706695202,0.2073889881,0.459,0.210681,0.37775127,2.02722677,3.912023005
"amcamp.us",9,2.302585093,28.93333333,3.398972687,729.49825,6.593726836,6.603600087,0.627914859,554.41795,6.319720893,6.091325885,0.844822158240001,0.22499703282,0.354,0.125316,0.303063174,1.816289467,3.713572067
"amcamp.us",16,2.833213344,28.93333333,3.398972687,465.27075,6.144766474,6.603600087,0.566476939,375.62545,5.931251192,6.091325885,0.806843973640001,0.15079309477,0.643,0.413449,0.496523839,2.322681795,4.234106505
"amcamp.us",12,2.564949357,28.93333333,3.398972687,902.0506,6.805778587,6.603600087,0.632828299,323.4553,5.782147776,6.091325885,0.709359556640003,0.108322906519998,0.794,0.630436,0.584447764,2.474940485,4.025351691
"amcamp.us",13,2.63905733,28.93333333,3.398972687,1014.58575,6.923220819,6.603600087,0.682919522,502.6617,6.221904813,6.091325885,0.818539190560001,0.15764213308,0.622,0.386884,0.483659956,2.240071188,3.912023005
"amcamp.us",13,2.63905733,28.93333333,3.398972687,474.40075,6.164158133,6.603600087,0.512800061,302.42545,5.715135946,6.091325885,0.792914431240001,0.22413266932,0.289,0.083521,0.253866724,1.610836933,3.988984047
"amcamp.us",14,2.708050201,28.93333333,3.398972687,576.24215,6.358261849,6.603600087,0.75263529,375.4531,5.930793471,6.091325885,0.84855460272,0.178566453209998,0.558,0.311364,0.443402947,2.145463337,3.850147602
"amcamp.us",8,2.197224577,28.93333333,3.398972687,678.197,6.520911218,6.603600087,0.824734828,421.0767,6.045187051,6.091325885,0.828416295240002,0.163885709820001,0.603,0.363609,0.471876874,2.20552338,3.828641396
"azi.cn",41,3.737669618,69.83333333,4.2603297,413.5,6.027072975,6.114003662,0.723261946,355,5.874930731,5.913985772,0.866262091040001,0.21791562872,0.41,0.1681,0.343589704,1.706564623,4.158883083
"azi.cn",39,3.688879454,69.83333333,4.2603297,580.5,6.365610972,6.114003662,0.833326555,470,6.154858094,5.913985772,0.83843340144,0.170779457669999,0.582,0.338724,0.458689869,2.03953059,4.262679877
"azi.cn",38,3.663561646,69.83333333,4.2603297,538,6.289715571,6.114003662,0.866159517,441,6.091309882,5.913985772,0.82588764896,0.16224112553,0.608,0.369664,0.474991171,2.116857743,4.317488114
"azi.cn",36,3.610917913,69.83333333,4.2603297,443,6.095824562,6.114003662,0.763451052,359,5.886104031,5.913985772,0.84894270068,0.178887383989998,0.557,0.310249,0.442760893,1.982792967,4.356708827
"azi.cn",37,3.63758616,69.83333333,4.2603297,374.5,5.928258471,6.114003662,0.760883535,271.5,5.607638614,5.913985772,0.856415057600001,0.185534385049999,0.536,0.287296,0.429181635,1.982104309,4.290459441
"azi.cn",40,3.713572067,69.83333333,4.2603297,526,6.267200549,6.114003662,0.785963145,430.5,6.067267511,5.913985772,0.864407104200001,0.194326173599999,0.507,0.257049,0.41012092,1.882513832,4.219507705
"azi.cn",40,3.713572067,69.83333333,4.2603297,539.84,6.293123486,6.114003662,0.745629816,421.84,6.046993857,5.913985772,0.852306344,0.181759081249999,0.548,0.300304,0.436963775,2.007676975,4.127134385
"azi.cn",34,3.555348061,69.83333333,4.2603297,576.69,6.359037393,6.114003662,0.761383553,450.69,6.112996104,5.913985772,0.864180275200001,0.1940323441,0.508,0.258064,0.41078427,1.908356617,4.262679877
"azi.cn",34,3.555348061,69.83333333,4.2603297,442.795,6.095362744,6.114003662,0.742144917,342.795,5.84004555,5.913985772,0.870684777479999,0.21027084264,0.447,0.199809,0.369492448,1.826965725,4.043051268
"azi.cn",26,3.295836866,69.83333333,4.2603297,408.2,6.014204034,6.114003662,0.69390673,325.7,5.789042319,5.913985772,0.870754231240001,0.20933001682,0.451,0.203401,0.372252974,1.777660545,4.204692619
"azi.cn",42,3.761200116,69.83333333,4.2603297,455.405,6.123380573,6.114003662,0.616056036,391.905,5.973567852,5.913985772,0.780231212039997,0.136881669719998,0.687,0.471969,0.522951804,2.231840688,4.406719247
"azi.cn",43,3.784189634,69.83333333,4.2603297,418.57,6.039230377,6.114003662,0.624675768,354.07,5.872314953,5.913985772,0.868152974920001,0.20003396281,0.487,0.237169,0.396760667,1.904194899,4.17438727
"azi.cn",38,3.663561646,69.83333333,4.2603297,500.345,6.217294487,6.114003662,0.593037954,420.345,6.043451976,5.913985772,0.870156979720003,0.20485749571,0.469,0.219961,0.384581897,1.820346926,4.077537444
"azi.cn",38,3.663561646,69.83333333,4.2603297,540.5,6.294343066,6.114003662,0.801234068,425,6.054439346,5.913985772,0.818539190560001,0.15764213308,0.622,0.386884,0.483659956,2.127636291,4.234106505
