"site.code","rich","ln.rich","totmass","ln.totmass","prod","ln.prod","hetero","anthro","ln.disturbance","mapwarmq","SoilSuitability","SoilFertility","ClimateOnProd","sand.prop","silt.prop","ph","ln.p","ln.n","ln.c","ln.k","tempwetq.tenth","Precip.cube"
"amcamp.us",0.289333333,0.254125289,0.736746365,0.552013458,0.441007073,0.365342226,0.22867531,0,1.749639581,0.69,-0.7140079999392,-0.0084420766356,0.050625964,0.7573333333,0.1593333333,5.563333333,4.186619838,0.394830988,2.117126621,4.894850261,0.53,0.328509
"azi.cn",0.698333333,0.529647378,0.451145333,0.37235313,0.369178667,0.314211047,0.343670802,0,2.664106067,3.56,-0.888228,0.149096516649,-0.083452064,0.375,0.558,5.843333333,4.251823032,0.430591231,1.974057878,5.689232694,0.99,45.118016
"barta.us",0.507,0.41012092,0.465812069,0.382409402,0.20792931,0.18890758,0.291154386,0,1.562263085,2.52,-0.7146005262828,-0.1876086594278,0.126107968,0.5565285088,0.2872565789,5.996551724,2.905581177,0.055402083,0.486716634,4.531857653,1.94,16.003008
"bldr.us",0.199,0.181487876,0.363675,0.310183261,0.167,0.154436353,0.105683567,0,0,1.3,-0.711756,-0.343805073136,0.121552,0.72,0.181,6.82,2.862200881,0.098260369,0.862045717,4.540631665,1.33,2.197
"bnch.us",0.357666667,0.30576754,0.23987,0.215006535,0.141991666,0.132773813,0.394328101,0,2.375657035,1.16,-0.7947799999392,-0.1727770596046,-0.017023584,0.7043333333,0.2653333333,5.55,2.696876901,0.478385073,2.289577527,4.551769409,-0.11,1.560896
"bogong.au",0.359333333,0.306994383,0.479713333,0.391848375,0.416193333,0.347972521,0.079892783,0,3.289997066,2.47,-0.652434,0.0821869774240001,-0.058316892,0.637,0.1805,4.47,3.814777621,0.456306078,2.280288358,5.266138468,0.02,15.069223
"bttr.us",0.853666667,0.61716566,0.411281035,0.344497828,0.234150001,0.210382475,0.887630198,0,1.978102986,1.24,-0.81144,-0.0870266500630001,-0.022326496,0.648,0.316,5.582758621,3.15919903,0.671077848,2.550269185,4.705483503,-0.15,1.906624
"burrawan.au",0.348333333,0.298869262,0.322113333,0.279231466,0.272365,0.240877373,0.043055272,0,3.717562113,2.57,-0.68316000000372,-0.23134878542614,0.171221628,0.822,0.09066666667,5.606666667,2.89406862,0.079365555,0.834270515,4.381192954,2.44,16.974593
"cbgb.us",0.767424242,0.569523256,0.915290741,0.649869434,0.24324537,0.217725195,0.786987057,1,0,3.29,-0.71207599998012,-0.11427749774814,0.0545348440000001,0.8833333333,0.07766666667,6.085185185,4.157145463,0.06036315,0.489295505,4.545459498,2.01,35.611289
"cdpt.us",0.588666667,0.46289509,0.12158265,0.114740768,0.1203888,0.113675768,0.359739931,0,3.164018967,1.77,-0.7187959999392,-0.2155871485166,0.170879068,0.7018333333,0.1988333333,6.61,3.516508228,0.109691125,0.876239274,5.648563356,1.97,5.545233
"derr.au",0.277333333,0.244774571,0.123166667,0.116152077,0.123166667,0.116152077,0.074776854,0,2.802724093,1.21,-0.7287319999764,-0.179289926441,0.128153756,0.2553333333,0.491,5.896666667,2.2300144,0.160870906,1.217135791,5.874087679,1.38,1.771561
"elliot.us",0.289666667,0.254383787,0.075148667,0.072458947,0.050124161,0.048908405,0.323951268,0,2.532241939,0.1,-0.6692960000136,-0.1677733639384,0.130336,0.5423333333,0.2556666667,5.693333333,2.884800713,0.145340556,1.123879262,5.603102347,1.33,0.001
"fnly.us",0.811052632,0.593908241,0.456007144,0.375697856,0.264924999,0.235012831,0.292927634,0,1.953763459,0.7,-0.559248,-0.103765737366,0.051548,0.265,0.333,5.214285714,2.674148649,0.202999151,1.514530509,5.066655494,0.54,0.343
"gilb.za",0.795333333,0.585190706,0.282063333,0.248470759,0.28053,0.247274055,0.23652895,0,2.293541947,4.32,-0.767928,-0.068122612585,-0.156866272,0.596,0.31,5.136666667,2.928523524,0.768641097,3.071317369,4.869839484,1.69,80.621568
"glac.us",0.189333333,0.173392926,0.31073716,0.270589697,0.164668652,0.152436627,0.146444648,0,2.038763323,0.99,-0.7914759999864,-0.0174075259176,0.043158804,0.6066666667,0.3243333333,5.106666667,3.209498663,0.766924146,2.813678681,4.217544996,0.48,0.970299
"hall.us",0.268,0.237440856,0.921166667,0.65293264,0.4411,0.365406711,0.425934355,0,0,3.06,-0.8396319999864,0.1455667400914,0.018669536,0.2506666667,0.5933333333,5.16,3.53125051,0.125927557,0.897352531,4.542230386,1.36,28.652616
"hart.us",0.328666667,0.284175933,0.174653846,0.160973505,0.142223077,0.132976431,0.068534014,0,0,0.56,-0.652704,-0.16450284277,0.097297536,0.49,0.274,7.246153846,4.175570002,0.094400675,0.76055418,6.538807529,1,0.175616
